venue,total_runs,total_balls,total_wickets,avg_run_rate
"Wankhede Stadium, Mumbai",6499,4762,240,8.19
"Narendra Modi Stadium, Ahmedabad",4566,3317,174,8.26
M Chinnaswamy Stadium,3937,2997,160,7.88
"Dr DY Patil Sports Academy, Mumbai",3682,2929,148,7.54
Dubai International Cricket Stadium,2931,2456,126,7.16
Eden Gardens,2842,2511,127,6.79
Sheikh Zayed Stadium,2791,2192,100,7.64
"Arun Jaitley Stadium, Delhi",2778,1733,79,9.62
Feroz Shah Kotla,2651,2379,127,6.69
"Punjab Cricket Association Stadium, Mohali",2617,2170,110,7.24
"Rajiv Gandhi International Stadium, Uppal",2592,1949,88,7.98
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2468,1711,72,8.65
"Brabourne Stadium, Mumbai",2410,1715,86,8.43
Wankhede Stadium,2358,1886,94,7.5
Sharjah Cricket Stadium,2071,1664,93,7.47
"MA Chidambaram Stadium, Chepauk",1728,1450,73,7.15
"Eden Gardens, Kolkata",1696,1191,61,8.54
"Maharashtra Cricket Association Stadium, Pune",1696,1416,74,7.19
"MA Chidambaram Stadium, Chepauk, Chennai",1649,1345,69,7.36
"M Chinnaswamy Stadium, Bengaluru",1609,1142,66,8.45
Dr DY Patil Sports Academy,1462,1408,77,6.23
"Sawai Mansingh Stadium, Jaipur",1405,979,35,8.61
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1339,989,52,8.12
Sawai Mansingh Stadium,1267,984,43,7.73
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1250,755,29,9.93
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1194,984,56,7.28
Subrata Roy Sahara Stadium,1089,976,55,6.69
Himachal Pradesh Cricket Association Stadium,983,717,31,8.23
Green Park,858,678,36,7.59
"Zayed Cricket Stadium, Abu Dhabi",733,655,32,6.71
"Barsapara Cricket Stadium, Guwahati",630,485,29,7.79
Saurashtra Cricket Association Stadium,567,450,16,7.56
Shaheed Veer Narayan Singh International Stadium,525,469,22,6.72
JSCA International Stadium Complex,488,488,29,6.0
Maharashtra Cricket Association Stadium,453,415,24,6.55
MA Chidambaram Stadium,382,451,21,5.08
Brabourne Stadium,341,255,9,8.02
"Punjab Cricket Association IS Bindra Stadium, Mohali",310,233,11,7.98
Punjab Cricket Association IS Bindra Stadium,298,245,19,7.3
"Sardar Patel Stadium, Motera",255,220,10,6.95
Holkar Cricket Stadium,183,161,12,6.82
